ReportDt,Unit,Power
03/01/2019,Arkansas Nuclear 1,100
03/01/2019,Arkansas Nuclear 2,100
03/01/2019,Beaver Valley 1,82
03/01/2019,Beaver Valley 2,100
03/01/2019,Braidwood 1,100
03/01/2019,Braidwood 2,100
03/01/2019,Browns Ferry 1,100
03/01/2019,Browns Ferry 2,86
03/01/2019,Browns Ferry 3,100
03/01/2019,Brunswick 1,100
03/01/2019,Brunswick 2,97
03/01/2019,Byron 1,100
03/01/2019,Byron 2,100
03/01/2019,Callaway,100
03/01/2019,Calvert Cliffs 1,100
03/01/2019,Calvert Cliffs 2,0
03/01/2019,Catawba 1,100
03/01/2019,Catawba 2,100
03/01/2019,Clinton,98
03/01/2019,Columbia Generating Station,100
03/01/2019,Comanche Peak 1,100
03/01/2019,Comanche Peak 2,100
03/01/2019,Cooper,100
03/01/2019,D.C. Cook 1,83
03/01/2019,D.C. Cook 2,100
03/01/2019,Davis-Besse,100
03/01/2019,Diablo Canyon 1,0
03/01/2019,Diablo Canyon 2,100
03/01/2019,Dresden 2,100
03/01/2019,Dresden 3,100
03/01/2019,Duane Arnold,100
03/01/2019,Farley 1,99
03/01/2019,Farley 2,100
03/01/2019,Fermi 2,100
03/01/2019,FitzPatrick,100
03/01/2019,Ginna,100
03/01/2019,Grand Gulf 1,80
03/01/2019,Harris 1,100
03/01/2019,Hatch 1,100
03/01/2019,Hatch 2,0
03/01/2019,Hope Creek 1,100
03/01/2019,Indian Point 2,100
03/01/2019,Indian Point 3,100
03/01/2019,LaSalle 1,100
03/01/2019,LaSalle 2,0
03/01/2019,Limerick 1,100
03/01/2019,Limerick 2,100
03/01/2019,McGuire 1,99
03/01/2019,McGuire 2,100
03/01/2019,Millstone 2,100
03/01/2019,Millstone 3,100
03/01/2019,Monticello,86
03/01/2019,Nine Mile Point 1,87
03/01/2019,Nine Mile Point 2,100
03/01/2019,North Anna 1,100
03/01/2019,North Anna 2,91
03/01/2019,Oconee 1,100
03/01/2019,Oconee 2,100
03/01/2019,Oconee 3,100
03/01/2019,Oyster Creek,0
03/01/2019,Palisades,100
03/01/2019,Palo Verde 1,100
03/01/2019,Palo Verde 2,100
